algorithm	dataset	purity
IKSHC	LandCover	0.533172
PERCH	LandCover	0.488867
IKSHC	LandCover	0.562172
PERCH	LandCover	0.416671
IKSHC	LandCover	0.551224
PERCH	LandCover	0.446841
IKSHC	LandCover	0.539024
PERCH	LandCover	0.375492
IKSHC	LandCover	0.538575
PERCH	LandCover	0.472923
IKSHC	LandCover	0.571078
PERCH	LandCover	0.413278
IKSHC	LandCover	0.529745
PERCH	LandCover	0.385000
IKSHC	LandCover	0.520993
PERCH	LandCover	0.444271
IKSHC	LandCover	0.553193
PERCH	LandCover	0.343653
IKSHC	LandCover	0.518373
PERCH	LandCover	0.429598
IKSHC	LSVT	0.626685
PERCH	LSVT	0.581674
IKSHC	LSVT	0.650172
PERCH	LSVT	0.618777
IKSHC	LSVT	0.685444
PERCH	LSVT	0.610666
IKSHC	LSVT	0.629448
PERCH	LSVT	0.617609
IKSHC	LSVT	0.625718
PERCH	LSVT	0.635644
IKSHC	LSVT	0.656791
PERCH	LSVT	0.605433
IKSHC	LSVT	0.639543
PERCH	LSVT	0.585268
IKSHC	LSVT	0.631669
PERCH	LSVT	0.616083
IKSHC	LSVT	0.640031
PERCH	LSVT	0.693719
IKSHC	LSVT	0.634172
PERCH	LSVT	0.601814
IKSHC	lung	0.812312
PERCH	lung	0.725392
IKSHC	lung	0.823982
PERCH	lung	0.780203
IKSHC	lung	0.842238
PERCH	lung	0.817414
IKSHC	lung	0.865452
PERCH	lung	0.751757
IKSHC	lung	0.866928
PERCH	lung	0.742633
IKSHC	lung	0.925393
PERCH	lung	0.741363
IKSHC	lung	0.884885
PERCH	lung	0.715808
IKSHC	lung	0.863100
PERCH	lung	0.795053
IKSHC	lung	0.835587
PERCH	lung	0.772472
IKSHC	lung	0.878441
PERCH	lung	0.738796
IKSHC	musk	0.554222
PERCH	musk	0.554270
IKSHC	musk	0.556856
PERCH	musk	0.536761
IKSHC	musk	0.552487
PERCH	musk	0.570493
IKSHC	musk	0.551602
PERCH	musk	0.558271
IKSHC	musk	0.547021
PERCH	musk	0.534573
IKSHC	musk	0.548175
PERCH	musk	0.544118
